City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
320,Seymchan,RU,62.88,152.43,47.59,82,100,21.09,light rain
321,Oktyabrskoye,RU,43.06,44.74,55.4,93,0,4.47,clear sky
322,Floro,NO,61.6,5.03,60.8,93,0,9.17,clear sky
323,Coruripe,BR,-10.13,-36.18,72.45,85,100,3.96,overcast clouds
324,Burnie,AU,-41.07,145.92,55.99,63,53,10.0,broken clouds
325,Hoquiam,US,46.98,-123.89,64.99,82,20,12.75,few clouds
326,Isangel,VU,-19.55,169.27,78.8,69,20,3.36,few clouds
327,Marawi,PH,8.0,124.29,82.0,83,100,4.0,light rain
328,Oranjemund,NA,-28.55,16.43,51.22,57,0,5.5,clear sky
329,Sitka,US,57.05,-135.33,66.2,63,75,4.7,broken clouds
330,Suntar,RU,62.14,117.63,61.88,44,0,5.66,clear sky
331,Khani,GE,41.96,42.96,66.2,93,5,2.24,clear sky
332,Windhoek,NA,-22.56,17.08,41.0,25,0,9.17,clear sky
333,Atherton,GB,53.52,-2.49,66.0,70,100,5.99,light rain
334,Gizo,SB,-8.1,156.84,83.84,69,18,0.81,few clouds
335,Makakilo City,US,21.35,-158.09,89.6,43,1,9.17,clear sky
336,Port Hawkesbury,CA,45.62,-61.35,64.4,88,75,9.17,broken clouds
337,Ocampo,MX,21.65,-101.5,61.34,74,100,7.56,light rain
338,Muswellbrook,AU,-32.27,150.9,53.1,61,98,14.07,overcast clouds
339,Acarau,BR,-2.89,-40.12,75.97,80,56,13.78,broken clouds
340,Along,IN,28.17,94.77,81.63,64,0,0.25,clear sky
341,Antofagasta,CL,-23.65,-70.4,55.4,71,90,8.05,overcast clouds
342,San Patricio,MX,19.22,-104.7,86.0,74,40,3.8,scattered clouds
343,Senigallia,IT,43.71,13.22,71.01,83,0,3.36,clear sky
344,Rudbar,AF,30.15,62.6,75.76,19,0,8.93,clear sky
345,Pavilosta,LV,56.89,21.19,62.6,93,100,2.24,overcast clouds
346,Vardo,NO,70.37,31.11,52.95,82,100,11.9,overcast clouds
347,Babu,CN,24.42,111.52,77.45,87,100,1.99,light rain
348,Srandakan,ID,-7.94,110.25,82.81,63,14,6.89,few clouds
349,Bismil,TR,37.85,40.67,69.8,72,0,1.12,clear sky
350,Bedele,ET,8.46,36.35,53.69,100,100,1.32,overcast clouds
351,Rockport,US,28.02,-97.05,87.8,62,1,6.93,clear sky
352,Kandrian,PG,-6.22,149.55,84.29,64,10,9.22,clear sky
353,Grindavik,IS,63.84,-22.43,48.2,100,90,3.36,light intensity drizzle
354,Ahuimanu,US,21.44,-157.84,87.8,65,20,13.87,few clouds
355,Zhezkazgan,KZ,47.8,67.71,61.16,36,100,4.7,overcast clouds
356,Sibolga,ID,1.74,98.78,85.03,60,82,2.19,broken clouds
357,Nhulunbuy,AU,-12.23,136.77,84.2,51,0,8.05,clear sky
358,Langres,FR,47.83,5.33,66.0,93,5,5.93,clear sky
359,Poum,NC,-20.23,164.02,73.18,72,0,13.09,clear sky
360,Chuguyevka,RU,44.17,133.86,66.52,50,100,6.78,overcast clouds
361,Korla,CN,41.76,86.15,80.11,27,96,12.53,overcast clouds
362,Bereda,ES,43.27,-7.54,64.99,100,97,3.0,light rain
363,Mehran,IR,33.12,46.16,68.0,28,0,4.7,clear sky
